orientation,m,n,ratio,presolve,median_iters_dual_simplex,median_iters_primal_simplex,median_time_s_dual_simplex,median_time_s_primal_simplex
tall,100,100,1.0,True,2.0,6.0,0.0036578899998858105,0.0036121460016147466
tall,193,100,1.930698,True,0.0,0.0,0.0044301429988991,0.004463950001081685
tall,373,100,3.727594,True,0.0,0.0,0.006112963999839849,0.00616840700058674
tall,720,100,7.196857,True,0.0,0.0,0.009641398000894696,0.009833284000706044
tall,1389,100,13.894955,True,0.0,0.0,0.017380057000991656,0.01706829799877596
tall,2683,100,26.826958,True,0.0,0.0,0.030343350999828544,0.03062348200000997
tall,5179,100,51.794747,True,0.0,0.0,0.0556816139996954,0.056480866000129026
tall,10000,100,100.0,True,0.0,0.0,0.10774412899991148,0.10544140199999674
tall,100,100,1.0,False,2.0,8.0,0.004051059999255813,0.005296989998896606
tall,193,100,1.930698,False,0.0,0.0,0.004477365999264293,0.004746464999698219
tall,373,100,3.727594,False,0.0,0.0,0.006508014999781153,0.006810995999330771
tall,720,100,7.196857,False,0.0,0.0,0.01015128400104004,0.010157975999391056
tall,1389,100,13.894955,False,0.0,0.0,0.018531231000451953,0.01779449400055455
tall,2683,100,26.826958,False,0.0,0.0,0.034028304000457865,0.03411348199915665
tall,5179,100,51.794747,False,0.0,0.0,0.0602424600001541,0.06139834699933999
tall,10000,100,100.0,False,0.0,0.0,0.11621240899876284,0.11632057700080622
wide,100,100,1.0,True,2.0,6.0,0.0034574519995658193,0.0036342740004329244
wide,100,193,1.930698,True,52.0,47.0,0.004701502999523655,0.004551931000605691
wide,100,373,3.727594,True,121.0,96.0,0.006763875000615371,0.0066181599995616125
wide,100,720,7.196857,True,218.0,133.0,0.011450070998762385,0.011227594000956742
wide,100,1389,13.894955,True,365.0,155.0,0.023082387999238563,0.01814686400030041
wide,100,2683,26.826958,True,893.0,177.0,0.062194142999942414,0.03235203700023703
wide,100,5179,51.794747,True,1961.0,222.0,0.2123510860001261,0.06940617399959592
wide,100,10000,100.0,True,4630.0,259.0,0.954847430000882,0.1456301660000463
wide,100,100,1.0,False,2.0,8.0,0.0035639969992189435,0.0035563000001275213
wide,100,193,1.930698,False,55.0,54.0,0.004651339000702137,0.004660952999984147
wide,100,373,3.727594,False,128.0,103.0,0.006951074001335655,0.006691819000479882
wide,100,720,7.196857,False,223.0,125.0,0.01158529200074554,0.010851965998881496
wide,100,1389,13.894955,False,387.0,154.0,0.022482284000943764,0.018290710000655963
wide,100,2683,26.826958,False,822.0,187.0,0.06254906399954052,0.03456210500007728
wide,100,5179,51.794747,False,2112.0,206.0,0.26160008300030313,0.06488658000125724
wide,100,10000,100.0,False,4983.0,262.0,1.1930090410005505,0.14973426500000642
