orientation,m,n,ratio,presolve,median_iters_dual_simplex,median_iters_primal_simplex,median_time_s_dual_simplex,median_time_s_primal_simplex
tall,150,150,1.0,True,76.5,138.5,0.008872053499544563,0.010349555999709992
tall,377,150,2.511886,True,182.0,470.5,0.023655211000004783,0.03430559299977176
tall,946,150,6.309573,True,329.0,1030.5,0.060408972000004724,0.12186901200038847
tall,2377,150,15.848932,True,492.5,2165.5,0.16358829350156157,0.4476487915007965
tall,5972,150,39.810717,True,650.5,4398.0,0.45470556399959605,1.934859805501219
tall,15000,150,100.0,True,800.5,10083.0,1.3151731030002338,10.817809011000463
tall,150,150,1.0,False,76.5,138.5,0.00866850400052499,0.010424550000607269
tall,377,150,2.511886,False,182.0,470.5,0.020863747500698082,0.03265554400059045
tall,946,150,6.309573,False,329.0,1030.5,0.05939790649972565,0.11549881900100445
tall,2377,150,15.848932,False,506.0,2170.0,0.1656146510003964,0.43851554400043824
tall,5972,150,39.810717,False,657.5,4404.0,0.45520737299921166,1.9358807195003465
tall,15000,150,100.0,False,789.0,10163.0,1.3090955159996156,10.92981629949918
wide,150,150,1.0,True,76.5,138.5,0.008603238500654697,0.010566019500402035
wide,150,377,2.511886,True,126.0,180.5,0.01842264850074571,0.022130192499389523
wide,150,946,6.309573,True,101.0,202.0,0.038746569000977615,0.04723864849893289
wide,150,2377,15.848932,True,152.0,263.0,0.09787705449889472,0.1190552120006032
wide,150,5972,39.810717,True,164.0,281.5,0.2508423529998254,0.2962495484998726
wide,150,15000,100.0,True,193.0,347.5,0.6970565859992348,0.8216162784992775
wide,150,150,1.0,False,76.5,138.5,0.008611219999693276,0.01041832649934804
wide,150,377,2.511886,False,126.0,180.5,0.01823550900007831,0.020120705499721225
wide,150,946,6.309573,False,101.0,202.0,0.03643153500070184,0.044516361999740184
wide,150,2377,15.848932,False,152.0,263.0,0.09520719949978229,0.11164362500039715
wide,150,5972,39.810717,False,164.0,281.5,0.23819829700005357,0.27762113049993786
wide,150,15000,100.0,False,193.0,347.5,0.6555346190007185,0.7861809824999
