orientation,m,n,ratio,presolve,median_iters_dual_simplex,median_iters_primal_simplex,median_time_s_dual_simplex,median_time_s_primal_simplex
tall,200,200,1.0,True,146.0,178.0,0.010683542500373733,0.011908191500879184
tall,374,200,1.870122,True,11.5,91.5,0.011342799501107947,0.012788657999408315
tall,699,200,3.497357,True,0.0,0.0,0.015092797500074084,0.015398181500131614
tall,1308,200,6.540486,True,0.0,0.0,0.02507483400131605,0.02623550049975165
tall,2446,200,12.231508,True,0.0,0.0,0.042800004000127956,0.04437416000018857
tall,4575,200,22.874415,True,0.0,0.0,0.08034142349970352,0.08158030100003089
tall,8556,200,42.777952,True,0.0,0.0,0.14511618850065133,0.1498643639997681
tall,16000,200,80.0,True,0.0,0.0,0.27288735800084396,0.27913757050100685
tall,200,200,1.0,False,132.5,163.0,0.010679945499759924,0.011404722499719355
tall,374,200,1.870122,False,10.5,89.5,0.010897138499785797,0.013127662499755388
tall,699,200,3.497357,False,0.0,0.0,0.016151970000464644,0.015994661999684467
tall,1308,200,6.540486,False,0.0,0.0,0.02912073799961945,0.02849881100064522
tall,2446,200,12.231508,False,0.0,0.0,0.049722841000402695,0.04902133199993841
tall,4575,200,22.874415,False,0.0,0.0,0.0904245939991597,0.08850566950059147
tall,8556,200,42.777952,False,0.0,0.0,0.16444858400063822,0.16573332249936357
tall,16000,200,80.0,False,0.0,0.0,0.31550838250041124,0.31809987900123815
wide,200,200,1.0,True,146.0,178.0,0.011113307500636438,0.012541406499622099
wide,200,374,1.870122,True,889.5,443.0,0.03972120499929588,0.029467896000824112
wide,200,699,3.497357,True,1737.5,667.0,0.08895890700023301,0.05056444149977324
wide,200,1308,6.540486,True,3381.5,781.5,0.2377420165003059,0.09439710599872342
wide,200,2446,12.231508,True,5848.5,920.5,0.6069300990002375,0.1638163474999601
wide,200,4575,22.874415,True,11351.5,1096.5,2.004345357499915,0.3330325815004471
wide,200,8556,42.777952,True,31517.5,1204.0,10.302869578000355,0.6449347765001221
wide,200,16000,80.0,True,74665.0,1375.5,46.17368175950014,1.3415577650002888
wide,200,200,1.0,False,132.5,163.0,0.010429054999804066,0.0117153764995237
wide,200,374,1.870122,False,808.5,507.5,0.03632474449932488,0.031399849000081304
wide,200,699,3.497357,False,1733.5,613.0,0.09173415650002426,0.04849884499890322
wide,200,1308,6.540486,False,2920.0,802.0,0.20312439700046525,0.08839904699925683
wide,200,2446,12.231508,False,5591.5,851.5,0.5887459805007893,0.14769042399984755
wide,200,4575,22.874415,False,11604.5,1004.5,1.9876811579997593,0.29170307149979635
wide,200,8556,42.777952,False,27626.0,1141.5,8.573087193500214,0.5857573390003381
wide,200,16000,80.0,False,75767.5,1354.0,45.11005927299993,1.2405636254998171
